x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
1,0,0,0,0,0,0,0.1227644451,0.1063593743,0.0496928012,0.0129130181,0.0003623267,0.0003415162,0.0006606825,0.0012709148,0.5308012742,0.2611334652,1,0
1,0,0,0,0,0,0,0.1421261319,0.1424028648,0.0313511843,0.003918357,7.58995821497562E-05,0.0001941926,0.0006573143,0.0012644355,0.6823015749,0.5363406967,0,0
1,0,0,0,0,0,0,0.1374716663,0.1674965236,0.1196141604,0.0811878355,0.0271062241,0.0185710401,0.0070425085,0.0025087851,0.7268361141,0.4379731296,0,1
1,0,0,0,0,0,0,0.0994027862,0.1103679561,0.0859705203,0.0515246422,0.0163401124,0.0135548711,0.0012888614,0.0004959904,0.5146777751,0.3526749456,0,0
1,0,0,0,0,0,0,0.0437993688,0.051281253,0.0038689605,0,0,0,0,0,0.4819362456,0.4071224418,0,1
1,0,0,0,0,0,0,0.0693950235,0.041498096,0.0217381823,0.0054165135,0,0,0,0,0.6017642735,0.4267699156,0,1
0,0,0,0,0,0,0,0.0374120524,0.0545308513,0.0154001281,0,0,0,0,0,0.7751264173,0.5063393948,0,1
1,0,0,0,0,0,0,0.0503738531,0.0568282469,0.0115363339,0.0025161747,0,0,0,0,0.9291662026,0.0816216451,1,0
1,0,0,0,0,0,0,0.1643813927,0.1408804043,0.0579910593,0.0083052404,0,0,0,0,0.5894767325,0.3650933395,0,1
1,0,0,0,0,0,0,0.0539966772,0.0601585482,0.0082458022,0.0016695077,0.0004547752,0,0,0,0.8607382326,0.3176083277,0,1
1,0,0,0,0,0,0,0.2081547153,0.305014203,0.163040511,0.0330357562,0,0,0,0,0.7941279989,0.3377207938,0,0
0,0,0,0,0,0,0,0.0548348128,0.0834672165,0.0041126767,0.00194289,0,0,0,0,0.8194070081,0.5068477863,1,0
1,0,0,0,0,0,0,0.0253000079,0.0185982855,0.0058971477,0.0048180975,0.0020221414,0.0002387728,0,0,0.7423937983,0.1964189394,0,1
1,0,0,0,0,0,0,0.0561548436,0.0403130825,0.0226633442,0.0031662587,0.0002224093,0,0,0,0.5960749371,0.4983539273,1,1
1,0,0,0,0,0,0,0.0204701588,0.011854856,0.0037822443,0.0011058941,0,0,0,0,0.7730502773,0.4129069457,0,0
1,0,0,0,0,0,0,0.160470816,0.1981960999,0.0828261656,0.0112696288,0.0010075412,0.0001459305,0.0001647075,0.0003168378,0.8986032835,0.1985827035,1,0
1,0,0,0,0,0,0,0.3040319643,0.4222485936,0.3526902852,0.33358787,0.2875485326,0.3042455434,0.395052106,0.3246916744,0.6981310285,0.4733063431,1,1
